"Timestamp","How would you rate your knowledge of data-flow analysis?","Which of the following statements apply to you?","User Tracking ID (Please do not edit)","Have you used the data-flow analysis tutor?","Did you use the round-robin simulator?","For the following statements, please select the option you agree with the most. [The simulator was easy to use.]","For the following statements, please select the option you agree with the most. [Information was displayed clearly and concisely.]","For the following statements, please select the option you agree with the most. [I understood the purpose of the simulator's components.]","For the following statements, please select the option you agree with the most. [I was able to simulate an analysis on an example program I wrote.]","For the following statements, please select the option you agree with the most. [The simulator increased my understanding of data-flow analysis.]","For the following statements, please select the option you agree with the most. [I would recommend the software to a friend.]","Which features would most improve the simulation? Please rank them in order of importance to you (Optional) [Different analysis algorithms (e.g. structural, worklist)]","Which features would most improve the simulation? Please rank them in order of importance to you (Optional) [More built-in data-flows (e.g. constant propagation)]","Which features would most improve the simulation? Please rank them in order of importance to you (Optional) [Conversion to / from SSA-form]","Which features would most improve the simulation? Please rank them in order of importance to you (Optional) [Ability to define custom data-flow equations]","Is there anything else you'd like to share about the simulation?","Did you use the interactive lessons?","For the following statements, please select the option you agree with the most. [The lessons were easy to use.]","For the following statements, please select the option you agree with the most. [Information was displayed clearly and concisely.]","For the following statements, please select the option you agree with the most. [I understood the content of the lessons.]","For the following statements, please select the option you agree with the most. [The interactive elements (graphs, questions) helped my understanding.]","For the following statements, please select the option you agree with the most. [The lessons increased my understanding of data-flow analysis.]","For the following statements, please select the option you agree with the most. [I would recommend the software to a friend.]","If you *did* complete one of the lessons, what influenced you to stay til the end? Please select all that apply.","If you attempted but *did not* complete a lesson, why did you leave before finishing? Please select all that apply.","Is there anything else you'd like to share about the lessons?","Which of the following methods do you use to study?","Please select which of the following applies to you.","Will you use this software to study after the evaluation period is over?","Is there anything else you'd like to share?"
"2016/03/13 11:01:43 PM GMT+1","None at all","I am a student.;I have studied another STEM subject at degree level.","JkrhW729sgIekZ4D0yn58xeNsoRdrdNw","Yes","Yes","Strongly Agree","Strongly Agree","Strongly Agree","Disagree","Strongly Agree","Agree","No Response","No Response","No Response","No Response","","Yes","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Agree","The interactive elements were engaging.;The lesson explained the content well.;The visual elements helped me to understand the content.","","You should indicate how far through the lesson/test you are","Attending lectures / tutorials;Reading lecture slides / notes","I would use this software *alongside* one of the methods I selected above.","No",""
"2016/03/13 11:55:15 PM GMT+1","None at all","I am a student.","yLnl6N41bYwG0BnVCXfk4YGplRghUB5W","Yes","Yes","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","No Response","No Response","No Response","No Response","No Response","","Yes","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","No Response","wanted to boss the test","","","Textbooks;Attending lectures / tutorials;Reading lecture slides / notes;Internet resources e.g. Wikipedia, YouTube","I would use this software *alongside* one of the methods I selected above.","No","ree"
"2016/03/14 11:52:32 AM GMT+1","Advanced","I am a student of the COPT course (UoE Informatics only)","zHyMZ5tPbSYPZS2TTZ0aWGrZWcLX0Vs2","Yes","Yes","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Agree","4 (Least Important)","2","2","1 (Most Important)","","Yes","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Agree","Agree","The content was relevant to my studies.","","The questions are slightly too easy. ","Textbooks;Attending lectures / tutorials;Reading lecture slides / notes;Internet resources e.g. Wikipedia, YouTube","I would use this software *alongside* one of the methods I selected above.","Yes",""
"2016/03/14 12:01:52 PM GMT+1","Basic","I am a student of the COPT course (UoE Informatics only)","PWk3noH463scQg8qOLHFotINFcd39wiv","Yes","Yes","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","4 (Least Important)","2","3","1 (Most Important)","","Yes","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","The interactive elements were engaging.;The lesson explained the content well.;The visual elements helped me to understand the content.;The content was relevant to my studies.","","","Textbooks;Reading lecture slides / notes","I would use this software *alongside* one of the methods I selected above.","Yes",""
"2016/03/14 12:02:16 PM GMT+1","Basic","I am a student of the COPT course (UoE Informatics only);I am a student.;I have studied another STEM subject at degree level.","p8BUAisPShQ167JxDkPPTX8uG4PE8pVT","Yes","Yes","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","3","4 (Least Important)","2","1 (Most Important)","","Yes","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","The visual elements helped me to understand the content.;The content was relevant to my studies.","","","Attending lectures / tutorials;Reading lecture slides / notes;Internet resources e.g. Wikipedia, YouTube","I would use this software *alongside* one of the methods I selected above.","Yes",""
"2016/03/14 12:31:26 PM GMT+1","Basic","I am a student.;I have studied Computer Science at degree level.","73Mzhs3xpzpq22PM3SGuUFgRvDGXv9vp","Yes","Yes","Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","1 (Most Important)","1 (Most Important)","No Response","2","","Yes","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","The lesson explained the content well.;The visual elements helped me to understand the content.","","","Textbooks;Attending lectures / tutorials;Reading lecture slides / notes;Internet resources e.g. Wikipedia, YouTube","I would use this software *instead of* one of the methods I selected above.","No",""
"2016/03/14 1:17:49 PM GMT+1","Basic","I am a student of the COPT course (UoE Informatics only);I am a student.;I have studied another STEM subject at degree level.","AiE6MND0ZBGavLscR9lAFwmYFfVSmpkk","Yes","Yes","Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","4 (Least Important)","2","1 (Most Important)","3","","No","","","","","","","","","","Textbooks;Attending lectures / tutorials;Reading lecture slides / notes;Internet resources e.g. Wikipedia, YouTube","I would use this software *alongside* one of the methods I selected above.","No",""
"2016/03/14 1:34:41 PM GMT+1","None at all","I have studied Computer Science at degree level.","gz8eRyfe6wIl7BGgpYeocBYcIV7OwjiF","Yes","Yes","Agree","Agree","Strongly Disagree","No Response","Agree","Agree","No Response","No Response","No Response","No Response","","Yes","Agree","Agree","Agree","Agree","Agree","Agree","The interactive elements were engaging.;The lesson explained the content well.;The visual elements helped me to understand the content.","There were too many mathematical symbols and equations.","","Textbooks;Attending lectures / tutorials;Reading lecture slides / notes;Internet resources e.g. Wikipedia, YouTube","I would use this software *instead of* one of the methods I selected above.","No",""
"2016/03/14 1:41:37 PM GMT+1","Basic","I am a student of the COPT course (UoE Informatics only);I am a student.;I have studied Computer Science at degree level.","ZtNFk8mkbcmT2TWHGRYemipaAUsF8BtS","Yes","Yes","Disagree","Strongly Agree","Agree","Agree","Disagree","Disagree","2","2","2","2","","Yes","Disagree","Agree","Disagree","Agree","Agree","Disagree","The lesson explained the content well.;The visual elements helped me to understand the content.","The content was not interesting or engaging.;The content was not relevant to my studies.","","Textbooks;Attending lectures / tutorials;Reading lecture slides / notes;Internet resources e.g. Wikipedia, YouTube","I would not use this software.","Yes",""
"2016/03/14 2:05:42 PM GMT+1","None at all","I have studied Computer Science at degree level.","SHyLZWnwexsMRDWtLg7Sob6JSXvhYwM5","Yes","Yes","Agree","Agree","Disagree","Disagree","Strongly Agree","Agree","1 (Most Important)","No Response","No Response","2","The Simulations and explanations are sometimes not clear enough. The associated boxes are colour coordinated but I feel that this could be done better in order to understand what was happening. The later stage was too much text I feel and made me less inclined to learn... introducing another form of simulation here could engage the user. The test also has some flow bugs when going forward and backwards. ","Yes","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","The interactive elements were engaging.","There were too many mathematical symbols and equations.","See previous ansewer on flow and text amount in last lesson. ","Textbooks;Attending lectures / tutorials;Reading lecture slides / notes;Internet resources e.g. Wikipedia, YouTube","I would use this software *alongside* one of the methods I selected above.","No","Few bugs here and there but simulation is engaging... more could be done to link between decription and simulation."
